case_id,journal_id,journal_name,relevance,note
01,4,IEEE Transactions on Computers,3,Strong match with DRAM reliability and computer architecture mechanisms
01,6,ACM Transactions on Architecture and Code Optimization,3,Strong match with memory architecture and low-overhead mitigation mechanisms
01,1,ACM Transactions on Computer Systems,2,Matches memory isolation and hardware-software interactions in real systems
01,50,IEEE Transactions on Dependable and Secure Computing,2,Rowhammer concerns both system dependability and security
01,2,ACM Transactions on Storage,2,DRAM device reliability and refresh mechanisms are relevant to storage systems
01,54,Computers & Security,1,The security implications are clear but computer architecture is the dominant focus
02,1,ACM Transactions on Computer Systems,3,Strong match with production-grade Paxos databases and computer systems practice
02,5,IEEE Transactions on Parallel and Distributed Systems,3,Strong match with consensus protocols and fault-tolerant distributed systems
02,19,Distributed Computing,2,Matches the Paxos algorithm and distributed fault-tolerance mechanisms
02,12,Journal of Parallel and Distributed Computing,2,Matches distributed systems implementation and performance evaluation
02,50,IEEE Transactions on Dependable and Secure Computing,2,Matches failure recovery and high-availability systems
02,92,ACM Transactions on Database Systems,2,Relevant to fault-tolerant database implementation but the paper emphasizes systems engineering
02,82,Software: Practice and Experience,1,Production experience and engineering lessons fit a practice-oriented scope
03,2,ACM Transactions on Storage,3,Strong match with storage-class memory and in-memory processing
03,17,ACM Journal on Emerging Technologies in Computing Systems,3,Strong match with emerging memory devices and PIM architectures
03,4,IEEE Transactions on Computers,3,Strong match with PIM computer architecture and systems evaluation
03,6,ACM Transactions on Architecture and Code Optimization,2,Matches computer architecture and data-processing offloading
03,5,IEEE Transactions on Parallel and Distributed Systems,2,Relevant to parallel DPU processing and scalability
03,27,CCF Transactions on High Performance Computing,1,High-throughput PIM experiments are relevant but storage is the primary topic
04,31,IEEE Transactions on Networking,3,Strong match with software-defined WANs and traffic engineering
04,35,Computer Networks,3,Strong match with WAN architecture routing and performance experiments
04,29,IEEE Journal on Selected Areas in Communications,2,Matches large-scale network traffic engineering and communication networks
04,40,IEEE Transactions on Network and Service Management,2,Matches centralized control and network operations management
04,32,ACM Transactions on Internet Technology,2,Relevant to global Internet infrastructure and SDN systems
04,42,Journal of Network and Computer Applications,1,Relevant to networked application systems but engineering architecture is the stronger focus
05,34,ACM Transactions on Sensor Networks,3,Strong match with data collection protocols for wireless sensor networks
05,30,IEEE Transactions on Mobile Computing,3,Strong match with low-power wireless routing and experimental evaluation
05,48,IEEE Internet of Things Journal,2,Matches sensor and IoT data collection mechanisms
05,38,Ad Hoc Networks,2,Matches routing protocols for self-organizing wireless networks
05,47,Wireless Networks,2,Relevant to wireless network protocols and link-quality adaptation
05,35,Computer Networks,1,Matches the broader network protocol scope but is less specific to sensor networks
06,31,IEEE Transactions on Networking,3,Strong match with RDMA and SmartNIC remote-memory communication
06,4,IEEE Transactions on Computers,3,Strong match with remote-memory interfaces and architectural design
06,1,ACM Transactions on Computer Systems,2,Matches hardware-software co-designed remote-memory systems
06,5,IEEE Transactions on Parallel and Distributed Systems,2,Matches distributed memory access and performance
06,35,Computer Networks,2,Relevant to network transport and RDMA mechanisms
06,12,Journal of Parallel and Distributed Computing,1,Applicable to distributed computing but network architecture is the primary focus
07,53,ACM Transactions on Privacy and Security,3,Strong match with differential privacy mechanisms and privacy-preserving learning
07,50,IEEE Transactions on Dependable and Secure Computing,3,Matches privacy-preserving machine learning and security guarantees
