case_id,journal_id,journal_name,silver_relevance,draft_reason,human_review_status
01,,IEEE Transactions on Computers,3,DRAM可靠性与体系结构机制高度匹配,pending
01,,ACM Transactions on Architecture and Code Optimization,3,内存体系结构和低开销缓解机制高度匹配,pending
01,,ACM Transactions on Computer Systems,2,真实系统中的内存隔离与硬件软件交互匹配,pending
01,,IEEE Transactions on Dependable and Secure Computing,2,Rowhammer同时涉及系统可靠性和安全性,pending
01,,ACM Transactions on Storage,2,DRAM器件可靠性及刷新机制与存储系统范围相关,pending
01,,Computers & Security,1,安全影响明确但体系结构内容占比更高,pending
02,,ACM Transactions on Computer Systems,3,生产级Paxos数据库与计算机系统实践高度匹配,pending
02,,IEEE Transactions on Parallel and Distributed Systems,3,共识协议和容错分布式系统高度匹配,pending
02,,Distributed Computing,2,Paxos算法及分布式容错机制匹配,pending
02,,Journal of Parallel and Distributed Computing,2,分布式系统实现与性能评估匹配,pending
02,,IEEE Transactions on Dependable and Secure Computing,2,故障恢复和高可用系统主题匹配,pending
02,,ACM Transactions on Database Systems,2,容错数据库实现相关但论文侧重系统工程,pending
02,,Software: Practice and Experience,1,生产经验与工程教训适合实践型范围,pending
03,,ACM Transactions on Storage,3,存储级内存和存内处理高度匹配,pending
03,,ACM Journal on Emerging Technologies in Computing Systems,3,新型存储器件与PIM架构高度匹配,pending
03,,IEEE Transactions on Computers,3,PIM计算机体系结构与系统评估高度匹配,pending
03,,ACM Transactions on Architecture and Code Optimization,2,体系结构和数据处理卸载匹配,pending
03,,IEEE Transactions on Parallel and Distributed Systems,2,并行DPU处理与可扩展性相关,pending
03,,CCF Transactions on High Performance Computing,1,高吞吐PIM实验相关但存储主题更核心,pending
04,,IEEE Transactions on Networking,3,软件定义广域网与流量工程高度匹配,pending
04,,Computer Networks,3,WAN架构路由和性能实验高度匹配,pending
04,,IEEE Journal on Selected Areas in Communications,2,大型网络流量工程与通信网络范围匹配,pending
04,,IEEE Transactions on Network and Service Management,2,集中式控制和网络运营管理匹配,pending
04,,ACM Transactions on Internet Technology,2,全球互联网基础设施和SDN系统相关,pending
04,,Journal of Network and Computer Applications,1,网络应用系统相关但工程架构主题更强,pending
05,,ACM Transactions on Sensor Networks,3,无线传感网络数据收集协议高度匹配,pending
05,,IEEE Transactions on Mobile Computing,3,低功耗无线网络路由和实验评估高度匹配,pending
05,,IEEE Internet of Things Journal,2,传感器与物联网数据收集机制匹配,pending
05,,Ad Hoc Networks,2,自组织无线网络路由协议匹配,pending
05,,Wireless Networks,2,无线网络协议和链路质量适配相关,pending
05,,Computer Networks,1,网络协议范围匹配但传感网络针对性较弱,pending
06,,IEEE Transactions on Networking,3,RDMA和SmartNIC远程内存通信高度匹配,pending
06,,IEEE Transactions on Computers,3,远程内存接口与体系结构设计高度匹配,pending
06,,ACM Transactions on Computer Systems,2,硬件软件协同的远程内存系统匹配,pending
06,,IEEE Transactions on Parallel and Distributed Systems,2,分布式内存访问与性能主题匹配,pending
06,,Computer Networks,2,网络传输和RDMA机制相关,pending
06,,Journal of Parallel and Distributed Computing,1,分布式计算适用但网络体系结构更核心,pending
07,,ACM Transactions on Privacy and Security,3,差分隐私机制与隐私保护学习高度匹配,pending
07,,IEEE Transactions on Dependable and Secure Computing,3,隐私保护机器学习和安全保证匹配,pending
07,,IEEE Transactions on Information Forensics and Security,2,隐私分析与安全学习方法相关,pending
07,,Journal of Machine Learning Research,2,深度学习优化和隐私会计方法匹配,pending
07,,Machine Learning,2,隐私约束下的学习算法与理论匹配,pending
07,,Artificial Intelligence,1,机器学习贡献相关但隐私主题更专门,pending
08,,IEEE Transactions on Software Engineering,3,真实缺陷数据库和软件测试研究基础设施高度匹配,pending
08,,ACM Transactions on Software Engineering and Methodology,3,软件测试方法与可复现实证研究高度匹配,pending
08,,"Software Testing, Verification and Reliability",3,缺陷库和受控测试研究直接匹配,pending
08,,Empirical Software Engineering,2,真实Java缺陷与实证研究设计匹配,pending
08,,Automated Software Engineering,2,自动化测试和故障定位应用相关,pending
08,,Journal of Systems and Software,1,软件质量与测试范围相关但针对性较弱,pending
09,,Empirical Software Engineering,3,GitHub挖掘偏差和实证方法高度匹配,pending
09,,IEEE Transactions on Software Engineering,3,软件仓库挖掘与研究方法论高度匹配,pending
09,,ACM Transactions on Software Engineering and Methodology,2,软件工程数据采集与有效性问题匹配,pending
09,,Journal of Software: Evolution and Process,2,软件演化和仓库历史分析相关,pending
09,,Information and Software Technology,2,软件工程实证研究和实践建议匹配,pending
09,,Software: Practice and Experience,1,GitHub实践经验相关但方法论主题更核心,pending
10,,IEEE Transactions on Knowledge and Data Engineering,3,大规模图表示学习和网络数据挖掘高度匹配,pending
10,,Data Mining and Knowledge Discovery,3,节点表示和图挖掘方法高度匹配,pending
10,,ACM Transactions on Knowledge Discovery from Data,3,可扩展网络特征学习高度匹配,pending
10,,Machine Learning,2,表示学习和随机游走优化匹配,pending
10,,Journal of Machine Learning Research,2,通用图机器学习方法相关,pending
10,,ACM Transactions on Intelligent Systems and Technology,2,图表示及下游智能任务匹配,pending
10,,Information Sciences,1,信息网络分析范围相关但专门性较弱,pending
11,,ACM Transactions on Algorithms,3,动态图算法与摊还复杂度高度匹配,pending
11,,SIAM Journal on Computing,3,严格图算法理论与复杂度分析高度匹配,pending
